reference,source,sentence_raw,construction,verb,dependency,final_input
ANC,naturalistic_data_academic,"""Noriega has closed every independent newspaper, radio and television station and arrested, tortured or forced into exile a long list of reporters,"" the statement declared.",8,close,nsubj aux verb dobj advcl ,"nsubj aux verb dobj advcl  [SEP] close [SEP] ""Noriega has closed every independent newspaper, radio and television station and arrested, tortured or forced into exile a long list of reporters,"" the statement declared."
ANC,naturalistic_data_academic,"In addition, there exists a complex relationship between what are perceived as different levels of indigenous identity; the Nasa, for example, divide themselves into the traditional, modern, and new.",6,perceive,nsubjpass auxpass verb prep ,"nsubjpass auxpass verb prep  [SEP] perceive [SEP] In addition, there exists a complex relationship between what are perceived as different levels of indigenous identity; the Nasa, for example, divide themselves into the traditional, modern, and new."
ANC,naturalistic_data_academic,"The attacks have intensified since the Colombian government began cracking down on the traffickers in August, trying to prevent their takeover of the country.",8,prevent,aux verb dobj ,"aux verb dobj  [SEP] prevent [SEP] The attacks have intensified since the Colombian government began cracking down on the traffickers in August, trying to prevent their takeover of the country."
ANC,naturalistic_data_academic,"When examining the area‚ history, culture, and economic situation we can identify four main reasons: the refusal of the international leadership of United Steelworkers of America to support their union‚ Youngstown branch, the lagging international steel market, the lack of a clear, organized vision for individual initiatives such as the Save Our Valley Campaign, and crippling regionalism which caused animosity between different small towns in the region, all contributed in some way to the failure of the workers and union leaders to save the industry.",8,cause,nsubj verb dobj ,"nsubj verb dobj  [SEP] cause [SEP] When examining the area‚ history, culture, and economic situation we can identify four main reasons: the refusal of the international leadership of United Steelworkers of America to support their union‚ Youngstown branch, the lagging international steel market, the lack of a clear, organized vision for individual initiatives such as the Save Our Valley Campaign, and crippling regionalism which caused animosity between different small towns in the region, all contributed in some way to the failure of the workers and union leaders to save the industry."
ANC,naturalistic_data_academic,Hadson Corp. said it expects to report a third-quarter net loss of $17 million to $19 million because of special reserves and continued low natural-gas prices.,8,report,aux verb dobj prep,aux verb dobj prep [SEP] report [SEP] Hadson Corp. said it expects to report a third-quarter net loss of $17 million to $19 million because of special reserves and continued low natural-gas prices.
ANC,naturalistic_data_academic,"They invited local people and politicians to witness the scene, then charged the Headquarters and took it over.",1,take,verb PRON prt ,"verb PRON prt  [SEP] take [SEP] They invited local people and politicians to witness the scene, then charged the Headquarters and took it over."
ANC,naturalistic_data_academic,"For the year, pet food volume was flat, the company said.",8,say,ccomp punct nsubj verb punct,"ccomp punct nsubj verb punct [SEP] say [SEP] For the year, pet food volume was flat, the company said."
ANC,naturalistic_data_academic,"The translation of the Colombian constitution sparked the development of neologisms, as the goal of the translators was not to provide a direct translation of the constitution, but to recapture its spirit in a native, rather than Western discourse (Gow and Rappaport 2002: 58-59).",8,provide,aux verb dobj ,"aux verb dobj  [SEP] provide [SEP] The translation of the Colombian constitution sparked the development of neologisms, as the goal of the translators was not to provide a direct translation of the constitution, but to recapture its spirit in a native, rather than Western discourse (Gow and Rappaport 2002: 58-59)."
ANC,naturalistic_data_academic,"In fact, More rail cars passed under the Center Street Bridge [a major bridge in Youngstown] per day than any other location in the country.",4,pass,prep punct punct nsubj verb prep prep prep punct ,"prep punct punct nsubj verb prep prep prep punct  [SEP] pass [SEP] In fact, More rail cars passed under the Center Street Bridge [a major bridge in Youngstown] per day than any other location in the country."
ANC,naturalistic_data_academic,"The authenticity of the modern Nasa, who are often metropolitan Spanish speakers attempting to reconnect with their roots, is brought into question by the traditional, who speak Nasa Yuwe and lead a rural existence(Rappaport 2005).",8,attempt,verb xcomp ,"verb xcomp  [SEP] attempt [SEP] The authenticity of the modern Nasa, who are often metropolitan Spanish speakers attempting to reconnect with their roots, is brought into question by the traditional, who speak Nasa Yuwe and lead a rural existence(Rappaport 2005)."
ANC,naturalistic_data_academic,The Guambiano history project charts native history as the outward spiraling events which are both cyclic and parallel in nature; Mayan historians translate and document oral histories whose legacy is in danger of being forgotten (Rappaport 2005: 165).,0,be,nsubj verb acomp ,nsubj verb acomp  [SEP] be [SEP] The Guambiano history project charts native history as the outward spiraling events which are both cyclic and parallel in nature; Mayan historians translate and document oral histories whose legacy is in danger of being forgotten (Rappaport 2005: 165).
ANC,naturalistic_data_academic,DD Acquisition said the extension is to allow this process to be completed.,6,complete,nsubjpass aux auxpass verb ,nsubjpass aux auxpass verb  [SEP] complete [SEP] DD Acquisition said the extension is to allow this process to be completed.
ANC,naturalistic_data_academic,Those that could afford to move did so; those that couldn t afford to move mostly ended up on the streets.,7,do,nsubj verb advmod ,nsubj verb advmod  [SEP] do [SEP] Those that could afford to move did so; those that couldn t afford to move mostly ended up on the streets.
ANC,naturalistic_data_academic,"Savin cited ""a general softening in the demand for office products in the market segments in which Savin competes.""",8,cite,nsubj verb dobj punct_-punct,"nsubj verb dobj punct_-punct [SEP] cite [SEP] Savin cited ""a general softening in the demand for office products in the market segments in which Savin competes."""
ANC,naturalistic_data_academic,"Later, another high-ranking trafficker, Leonidas Vargas, was arrested and 1,000 pounds of dynamite seized.",6,seize,nsubj verb punct ,"nsubj verb punct  [SEP] seize [SEP] Later, another high-ranking trafficker, Leonidas Vargas, was arrested and 1,000 pounds of dynamite seized."
ANC,naturalistic_data_academic,"A major success in the Colombian saga is the revamped constitution of 1991, which includes a section on indigenous rights, as the Congress which drafted it included representatives from native groups (Gow and Rappaport 2002: 57).",0,be,nsubj verb attr conj punct ,"nsubj verb attr conj punct  [SEP] be [SEP] A major success in the Colombian saga is the revamped constitution of 1991, which includes a section on indigenous rights, as the Congress which drafted it included representatives from native groups (Gow and Rappaport 2002: 57)."
ANC,naturalistic_data_academic,Mayans gained formal recognition in 1995 as the majority population in a precursor to the 1996 peace accord; by 1999 its government floated a referendum on an indigenous bill of rights resembling that codified in the Colombian constitution (Warren 2002: 157-158).,8,resemble,verb ccomp ,verb ccomp  [SEP] resemble [SEP] Mayans gained formal recognition in 1995 as the majority population in a precursor to the 1996 peace accord; by 1999 its government floated a referendum on an indigenous bill of rights resembling that codified in the Colombian constitution (Warren 2002: 157-158).
ANC,naturalistic_data_academic,"People outside of the area had no personal investment in the
mills, and so it was difficult to convince anyone from out of the county to contribute funds.",8,convince,aux verb dobj prep xcomp ,"aux verb dobj prep xcomp  [SEP] convince [SEP] People outside of the area had no personal investment in the
mills, and so it was difficult to convince anyone from out of the county to contribute funds."
ANC,naturalistic_data_academic,The report charged that Panama's Manuel Noriega is not only in league with the drug traffickers but also is bullying the press as never before.,8,charge,nsubj verb ccomp punct ,nsubj verb ccomp punct  [SEP] charge [SEP] The report charged that Panama's Manuel Noriega is not only in league with the drug traffickers but also is bullying the press as never before.
ANC,naturalistic_data_academic,"The ONIC of Colombia lacks legitimacy precisely because it is perceived as not Indian enough‚; it embraces the use of Spanish and Western discourse, leading to distrust among indigenous peoples (Jackson 2002: 85).",8,embrace,ccomp punct PRON verb dobj punct advcl punct ,"ccomp punct PRON verb dobj punct advcl punct  [SEP] embrace [SEP] The ONIC of Colombia lacks legitimacy precisely because it is perceived as not Indian enough‚; it embraces the use of Spanish and Western discourse, leading to distrust among indigenous peoples (Jackson 2002: 85)."
ANC,naturalistic_data_academic,"It was clear to everyone that the economic fallout from this series of closings would be one of the worst in US history, and so without any real precedents the union leaders were flustered.",6,fluster,advmod prep nsubjpass auxpass verb ,"advmod prep nsubjpass auxpass verb  [SEP] fluster [SEP] It was clear to everyone that the economic fallout from this series of closings would be one of the worst in US history, and so without any real precedents the union leaders were flustered."
ANC,naturalistic_data_academic,"Most importantly, Youngstown‚ steel mills were slowly becoming less efficient and more expensive.",7,become,advmod punct nsubj aux advmod verb acomp punct ,"advmod punct nsubj aux advmod verb acomp punct  [SEP] become [SEP] Most importantly, Youngstown‚ steel mills were slowly becoming less efficient and more expensive."
ANC,naturalistic_data_academic,"In addition, Hadson said it will write off about $3.5 million in costs related to international exploration leases where exploration efforts have been unsuccessful.",0,have,advmod nsubj aux verb acomp,"advmod nsubj aux verb acomp [SEP] have [SEP] In addition, Hadson said it will write off about $3.5 million in costs related to international exploration leases where exploration efforts have been unsuccessful."
ANC,naturalistic_data_academic,"In Colombia, legal successes have often come about due to the Colombian government's recognition of the political viability of the rhetoric of indigenous rights; by granting indigenous peoples judicial sovereignty they hope to win the trust of a people who view the government as incapable of protecting them from the ongoing civil strife, and by giving them blocks of land they hope that the indigenous community will be able to keep out drug traffickers and guerrillas where the government itself has not (Jackson 1995: 8).",2,grant,verb dative dobj ,"verb dative dobj  [SEP] grant [SEP] In Colombia, legal successes have often come about due to the Colombian government's recognition of the political viability of the rhetoric of indigenous rights; by granting indigenous peoples judicial sovereignty they hope to win the trust of a people who view the government as incapable of protecting them from the ongoing civil strife, and by giving them blocks of land they hope that the indigenous community will be able to keep out drug traffickers and guerrillas where the government itself has not (Jackson 1995: 8)."
ANC,naturalistic_data_academic,DD Acquisition said the extension is to allow this process to be completed.,8,say,nsubj verb ccomp punct ,nsubj verb ccomp punct  [SEP] say [SEP] DD Acquisition said the extension is to allow this process to be completed.
ANC,naturalistic_data_academic,"RMS International Inc., Hasbrouk Heights, N.J., facing a cash-flow squeeze, said it is seeking other financing sources and waivers from debenture holders.",8,say,nsubj verb ccomp punct ,"nsubj verb ccomp punct  [SEP] say [SEP] RMS International Inc., Hasbrouk Heights, N.J., facing a cash-flow squeeze, said it is seeking other financing sources and waivers from debenture holders."
ANC,naturalistic_data_academic,"In national over-the-counter trading yesterday, POP plunged $4 to $14.75.",4,plunge,prep npadvmod punct nsubj verb npadvmod prep punct ,"prep npadvmod punct nsubj verb npadvmod prep punct  [SEP] plunge [SEP] In national over-the-counter trading yesterday, POP plunged $4 to $14.75."
ANC,naturalistic_data_academic,"In a telephone interview, Mr. Reupke said his departure was for ""personal reasons,"" which he declined to specify.",8,specify,dobj aux verb ,"dobj aux verb  [SEP] specify [SEP] In a telephone interview, Mr. Reupke said his departure was for ""personal reasons,"" which he declined to specify."
ANC,naturalistic_data_academic,Mayans gained formal recognition in 1995 as the majority population in a precursor to the 1996 peace accord; by 1999 its government floated a referendum on an indigenous bill of rights resembling that codified in the Colombian constitution (Warren 2002: 157-158).,6,codify,nsubj verb prep ,nsubj verb prep  [SEP] codify [SEP] Mayans gained formal recognition in 1995 as the majority population in a precursor to the 1996 peace accord; by 1999 its government floated a referendum on an indigenous bill of rights resembling that codified in the Colombian constitution (Warren 2002: 157-158).
ANC,naturalistic_data_academic,"Most still speak it in various forms, and efforts by Mayan linguists to standardize the language are producing a coherent, modern version of Maya (England 2003: 733, 739).",8,produce,nsubj aux verb dobj punct ,"nsubj aux verb dobj punct  [SEP] produce [SEP] Most still speak it in various forms, and efforts by Mayan linguists to standardize the language are producing a coherent, modern version of Maya (England 2003: 733, 739)."
ANC,naturalistic_data_academic,"A final statement yesterday said: ""While some advances are being made in nations throughout the hemisphere, the state of press freedom in the Americas still must be regarded as grim as long as journalists and their families are subject to the crudest form of censorship: death by assassination.""",0,be,mark nsubj verb acomp ,"mark nsubj verb acomp  [SEP] be [SEP] A final statement yesterday said: ""While some advances are being made in nations throughout the hemisphere, the state of press freedom in the Americas still must be regarded as grim as long as journalists and their families are subject to the crudest form of censorship: death by assassination."""
ANC,naturalistic_data_academic,"Since this problem was a national one rather than a local one, the problems that were occurring in Youngstown were not unique.",0,be,mark nsubj verb attr ,"mark nsubj verb attr  [SEP] be [SEP] Since this problem was a national one rather than a local one, the problems that were occurring in Youngstown were not unique."
ANC,naturalistic_data_academic,"A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual.""",7,nonrecurr,verb,"verb [SEP] nonrecurr [SEP] A spokesman for the Stamford, Conn.based company said operations had a loss of $5.5 million for the quarter; in addition, the loss was magnified by nonrecurring charges totaling $23.5 million and $8.2 million in asset-valuation adjustments that he described as ""unusual."""
ANC,naturalistic_data_academic,"Despite the Congress of Industrial Organization‚ successful efforts to establish a national steel workers union, the industry barely survived the Depression years.",8,survive,ccomp punct nsubj advmod verb dobj punct ,"ccomp punct nsubj advmod verb dobj punct  [SEP] survive [SEP] Despite the Congress of Industrial Organization‚ successful efforts to establish a national steel workers union, the industry barely survived the Depression years."
ANC,naturalistic_data_academic,The drug lords who claimed responsibility said they would blow up the Bogota newspaper's offices if it continued to distribute in Medellin.,8,say,nsubj verb ccomp punct ,nsubj verb ccomp punct  [SEP] say [SEP] The drug lords who claimed responsibility said they would blow up the Bogota newspaper's offices if it continued to distribute in Medellin.
ANC,naturalistic_data_academic,"The return to customary law reflects a substantial shift in indigenous identity: no longer ruled by Western laws and discourse, communities are forced to assess the efficacy of their old judicial systems in light of the modern era.",6,force,ccomp punct advcl punct nsubjpass auxpass verb xcomp punct ,"ccomp punct advcl punct nsubjpass auxpass verb xcomp punct  [SEP] force [SEP] The return to customary law reflects a substantial shift in indigenous identity: no longer ruled by Western laws and discourse, communities are forced to assess the efficacy of their old judicial systems in light of the modern era."
ANC,naturalistic_data_academic,"The attacks have intensified since the Colombian government began cracking down on the traffickers in August, trying to prevent their takeover of the country.",7,intensify,nsubj aux verb advcl punct ,"nsubj aux verb advcl punct  [SEP] intensify [SEP] The attacks have intensified since the Colombian government began cracking down on the traffickers in August, trying to prevent their takeover of the country."
ANC,naturalistic_data_academic,"When examining the area‚ history, culture, and economic situation we can identify four main reasons: the refusal of the international leadership of United Steelworkers of America to support their union‚ Youngstown branch, the lagging international steel market, the lack of a clear, organized vision for individual initiatives such as the Save Our Valley Campaign, and crippling regionalism which caused animosity between different small towns in the region, all contributed in some way to the failure of the workers and union leaders to save the industry.",7,lag,verb ,"verb  [SEP] lag [SEP] When examining the area‚ history, culture, and economic situation we can identify four main reasons: the refusal of the international leadership of United Steelworkers of America to support their union‚ Youngstown branch, the lagging international steel market, the lack of a clear, organized vision for individual initiatives such as the Save Our Valley Campaign, and crippling regionalism which caused animosity between different small towns in the region, all contributed in some way to the failure of the workers and union leaders to save the industry."
ANC,naturalistic_data_academic,"Even though they eventually failed, the fact that they tried to preserve what they felt belonged to them is an amazing example of how far people will go to save their lives and the futures of their children.",7,go,advmod nsubj aux verb advcl ,"advmod nsubj aux verb advcl  [SEP] go [SEP] Even though they eventually failed, the fact that they tried to preserve what they felt belonged to them is an amazing example of how far people will go to save their lives and the futures of their children."
ANC,naturalistic_data_academic,"Illiteracy and poverty is associated with Maya; thus there is the conflict between the desire to recapture the unique Mayan identity via the language and the need to improve living conditions, which most often occurs under Spanish influence.",6,associate,nsubjpass auxpass verb prep ,"nsubjpass auxpass verb prep  [SEP] associate [SEP] Illiteracy and poverty is associated with Maya; thus there is the conflict between the desire to recapture the unique Mayan identity via the language and the need to improve living conditions, which most often occurs under Spanish influence."
ANC,naturalistic_data_academic,The drug lords who claimed responsibility said they would blow up the Bogota newspaper's offices if it continued to distribute in Medellin.,7,distribute,aux verb prep ,aux verb prep  [SEP] distribute [SEP] The drug lords who claimed responsibility said they would blow up the Bogota newspaper's offices if it continued to distribute in Medellin.
ANC,naturalistic_data_academic,"Valley Federal Savings & Loan Association took an $89.9 million charge as it reported a third-quarter loss of $70.7 million, or $12.09 a share.",8,report,mark PRON verb dobj ,"mark PRON verb dobj  [SEP] report [SEP] Valley Federal Savings & Loan Association took an $89.9 million charge as it reported a third-quarter loss of $70.7 million, or $12.09 a share."
ANC,naturalistic_data_academic,"Therefore when considering the indigenous revitalization movements which began in 20th century Latin America, the impact of those indigenous languages on those movements and the nature of the identity of the peoples themselves is key.",0,be,advmod advcl nsubj verb acomp punct ,"advmod advcl nsubj verb acomp punct  [SEP] be [SEP] Therefore when considering the indigenous revitalization movements which began in 20th century Latin America, the impact of those indigenous languages on those movements and the nature of the identity of the peoples themselves is key."
ANC,naturalistic_data_academic,This question of identity as defined by language manifests differently in Guatemala and Colombia.,6,define,mark verb agent advmod prep ,mark verb agent advmod prep  [SEP] define [SEP] This question of identity as defined by language manifests differently in Guatemala and Colombia.
ANC,naturalistic_data_academic,"However, to American companies already suffering financial setbacks, outdated machinery, and fierce competition, this lack of demand was an inconvenience they could not afford.",8,suffer,nsubj advmod verb dobj ,"nsubj advmod verb dobj  [SEP] suffer [SEP] However, to American companies already suffering financial setbacks, outdated machinery, and fierce competition, this lack of demand was an inconvenience they could not afford."
ANC,naturalistic_data_academic,"Besides incompetence, the USWA had one other major reason for rejecting their local counterpart: fear of socialism.",8,reject,verb dobj ,"verb dobj  [SEP] reject [SEP] Besides incompetence, the USWA had one other major reason for rejecting their local counterpart: fear of socialism."
ANC,naturalistic_data_academic,The thrift holding company said it expects to obtain regulatory approval and complete the transaction by year-end.,8,say,nsubj verb ccomp punct,nsubj verb ccomp punct [SEP] say [SEP] The thrift holding company said it expects to obtain regulatory approval and complete the transaction by year-end.
ANC,naturalistic_data_academic,Valley Federal also added $18 million to realestate loan reserves and eliminated $9.9 million of good will.,8,eliminate,verb dobj ,verb dobj  [SEP] eliminate [SEP] Valley Federal also added $18 million to realestate loan reserves and eliminated $9.9 million of good will.
ANC,naturalistic_data_academic,"There develops a duality in native culture; for example, many Nasa children receive instruction in Nasa Yuwe yet converse in Spanish outside the classroom.",8,receive,ccomp punct prep punct nsubj verb dobj advcl prep prep punct ,"ccomp punct prep punct nsubj verb dobj advcl prep prep punct  [SEP] receive [SEP] There develops a duality in native culture; for example, many Nasa children receive instruction in Nasa Yuwe yet converse in Spanish outside the classroom."
ANC,naturalistic_data_academic,"Reuters Holdings PLC said Michael Reupke resigned as general manager to pursue unspecified interests, a move the news organization termed an ""amicable separation.""",8,pursue,aux verb dobj ,"aux verb dobj  [SEP] pursue [SEP] Reuters Holdings PLC said Michael Reupke resigned as general manager to pursue unspecified interests, a move the news organization termed an ""amicable separation."""
ANC,naturalistic_data_academic,"The offer, which was due to expire yesterday, is conditional on 50.1% of Dunkin' common shares, on a fully diluted basis, being tendered and on the withdrawal of the company's poison pill rights plan.",0,be,nsubj verb acomp ,"nsubj verb acomp  [SEP] be [SEP] The offer, which was due to expire yesterday, is conditional on 50.1% of Dunkin' common shares, on a fully diluted basis, being tendered and on the withdrawal of the company's poison pill rights plan."
ANC,naturalistic_data_academic,"Also, international competitors drew on a large supply of very cheap labor.",7,draw,advmod punct nsubj verb prep punct ,"advmod punct nsubj verb prep punct  [SEP] draw [SEP] Also, international competitors drew on a large supply of very cheap labor."
ANC,naturalistic_data_academic,"The workers decided they needed to do something to save their city, and so they mobilized in a variety of ways.",8,do,aux verb dobj ,"aux verb dobj  [SEP] do [SEP] The workers decided they needed to do something to save their city, and so they mobilized in a variety of ways."
ANC,naturalistic_data_academic,"Labor costs in America continued to go up, draining US companies of their resources, while companies overseas were able to cut labor costs and put that money back into updating and renovating their facilities.",1,put,verb dobj advmod prep ,"verb dobj advmod prep  [SEP] put [SEP] Labor costs in America continued to go up, draining US companies of their resources, while companies overseas were able to cut labor costs and put that money back into updating and renovating their facilities."
ANC,naturalistic_data_academic,The Campaign failed to save any jobs and Youngstown was plunged into economic chaos.,6,plunge,nsubjpass auxpass verb prep punct ,nsubjpass auxpass verb prep punct  [SEP] plunge [SEP] The Campaign failed to save any jobs and Youngstown was plunged into economic chaos.
ANC,naturalistic_data_academic,"Several competing and oftentimes conflicting indigenous rights advocacy groups have developed: the ONIC poses itself as the sole pan-Indian group, yet lacks legitimacy in the eyes of many indigenous peoples (Jackson 2002: 83, 85).",7,develop,nsubj aux verb punct ,"nsubj aux verb punct  [SEP] develop [SEP] Several competing and oftentimes conflicting indigenous rights advocacy groups have developed: the ONIC poses itself as the sole pan-Indian group, yet lacks legitimacy in the eyes of many indigenous peoples (Jackson 2002: 83, 85)."
ANC,naturalistic_data_academic,"Foreign steel was easier and more efficient to make, and was often of higher quality than domestic steel.",8,make,aux verb ,"aux verb  [SEP] make [SEP] Foreign steel was easier and more efficient to make, and was often of higher quality than domestic steel."
ANC,naturalistic_data_academic,"Rather than sit back and wait for their jobs to be snatched away, the workers and local union members in the mills fought long and hard to be able to keep the factories open.",9,keep,aux verb dobj oprd ,"aux verb dobj oprd  [SEP] keep [SEP] Rather than sit back and wait for their jobs to be snatched away, the workers and local union members in the mills fought long and hard to be able to keep the factories open."
ANC,naturalistic_data_academic,DD Acquisition said the extension is to allow this process to be completed.,0,be,nsubj verb xcomp ,nsubj verb xcomp  [SEP] be [SEP] DD Acquisition said the extension is to allow this process to be completed.
ANC,naturalistic_data_academic,The drug lords who claimed responsibility said they would blow up the Bogota newspaper's offices if it continued to distribute in Medellin.,1,blow,PRON aux verb prt dobj advcl ,PRON aux verb prt dobj advcl  [SEP] blow [SEP] The drug lords who claimed responsibility said they would blow up the Bogota newspaper's offices if it continued to distribute in Medellin.
ANC,naturalistic_data_academic,The growth in popularity and militarism of these popular leftist movements is intertwined with the development of the indigenous revitalization movements.,6,intertwine,nsubjpass auxpass verb prep punct ,nsubjpass auxpass verb prep punct  [SEP] intertwine [SEP] The growth in popularity and militarism of these popular leftist movements is intertwined with the development of the indigenous revitalization movements.
ANC,naturalistic_data_academic,Dunkin' has set Nov. 10 as the deadline for the receipt of any competing bids.,7,compete,verb ,verb  [SEP] compete [SEP] Dunkin' has set Nov. 10 as the deadline for the receipt of any competing bids.
ANC,naturalistic_data_academic,In turn communal identity can be formed around a language; it is used as the focal point around which the group gathers.,6,form,prep nsubjpass aux auxpass verb prep ,prep nsubjpass aux auxpass verb prep  [SEP] form [SEP] In turn communal identity can be formed around a language; it is used as the focal point around which the group gathers.
ANC,naturalistic_data_academic,"Without funds to drive the efforts, or even a real plan of action, the Save Our Valley Campaign did more harm than good.",8,drive,aux verb dobj ,"aux verb dobj  [SEP] drive [SEP] Without funds to drive the efforts, or even a real plan of action, the Save Our Valley Campaign did more harm than good."
ANC,naturalistic_data_academic,"Immediately after the workers left the building, US steel representatives told the local union leaders that they had changed their minds and were no longer interested in allowing the workers to purchase the mill.",8,allow,verb ccomp ,"verb ccomp  [SEP] allow [SEP] Immediately after the workers left the building, US steel representatives told the local union leaders that they had changed their minds and were no longer interested in allowing the workers to purchase the mill."
ANC,naturalistic_data_academic,"In particular I will examine two divergent yet remarkably parallel cases, that of the Maya in Guatemala and the Nasa and Guambiano peoples of Colombia.",8,examine,prep PRON aux verb dobj advmod dobj punct ,"prep PRON aux verb dobj advmod dobj punct  [SEP] examine [SEP] In particular I will examine two divergent yet remarkably parallel cases, that of the Maya in Guatemala and the Nasa and Guambiano peoples of Colombia."
ANC,naturalistic_data_academic,"This process leads to the development of what can be broadly termed culture: a group of people joined by characteristics, traits, and beliefs comes to view themselves as sharing a distinct identity, discernible from that of those outside‚ them, those who do not belong.",4,lead,nsubj verb prep ,"nsubj verb prep  [SEP] lead [SEP] This process leads to the development of what can be broadly termed culture: a group of people joined by characteristics, traits, and beliefs comes to view themselves as sharing a distinct identity, discernible from that of those outside‚ them, those who do not belong."
ANC,naturalistic_data_academic,"In contrast, Colombian indigenous groups are divided to the extent that linguistic diversity is not only valued, but serves to split the population, both between groups and within groups themselves.",8,split,aux verb dobj punct prep ,"aux verb dobj punct prep  [SEP] split [SEP] In contrast, Colombian indigenous groups are divided to the extent that linguistic diversity is not only valued, but serves to split the population, both between groups and within groups themselves."
ANC,naturalistic_data_academic,"Boardman, Poland Township, Struthers, Lowellville, Warren, Lordstown, Canfield, Niles, and many other towns and districts are crowded around Youngstown (see Figure 3).",8,see,punct verb dobj punct ,"punct verb dobj punct  [SEP] see [SEP] Boardman, Poland Township, Struthers, Lowellville, Warren, Lordstown, Canfield, Niles, and many other towns and districts are crowded around Youngstown (see Figure 3)."
ANC,naturalistic_data_academic,"This would mean that UWSA would lose credibility with the American government and its people, something they could not afford to do.",8,mean,nsubj aux verb ccomp punct ,"nsubj aux verb ccomp punct  [SEP] mean [SEP] This would mean that UWSA would lose credibility with the American government and its people, something they could not afford to do."
ANC,naturalistic_data_academic,"But to the thousands of people living there, the loss of the mills was a devastating event that sent shock waves through their economic, political, and social futures.",7,live,verb advmod ,"verb advmod  [SEP] live [SEP] But to the thousands of people living there, the loss of the mills was a devastating event that sent shock waves through their economic, political, and social futures."
ANC,naturalistic_data_academic,Central is a return to the old land grant system stemming from the repartimentos of the colonial era along with judicial sovereignty.,0,be,nsubj verb attr punct ,nsubj verb attr punct  [SEP] be [SEP] Central is a return to the old land grant system stemming from the repartimentos of the colonial era along with judicial sovereignty.
ANC,naturalistic_data_academic,Integra-A Hotel & Restaurant Co. said its planned rights offering to raise about $9 million was declared effective and the company will begin mailing materials to shareholders at the end of this week.,8,begin,nsubj aux verb xcomp ,nsubj aux verb xcomp  [SEP] begin [SEP] Integra-A Hotel & Restaurant Co. said its planned rights offering to raise about $9 million was declared effective and the company will begin mailing materials to shareholders at the end of this week.
ANC,naturalistic_data_academic,"Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesn't already own in a stock swap.",8,say,nsubj verb ccomp ,"nsubj verb ccomp  [SEP] say [SEP] Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesn't already own in a stock swap."
ANC,naturalistic_data_academic,"Next, workers decided to form the Ecumenical Coalition, an organization of local religious groups which spearheaded the attempt to reopen the Youngstown works.",8,decide,advmod punct nsubj verb xcomp punct ,"advmod punct nsubj verb xcomp punct  [SEP] decide [SEP] Next, workers decided to form the Ecumenical Coalition, an organization of local religious groups which spearheaded the attempt to reopen the Youngstown works."
ANC,naturalistic_data_academic,"Without funds, the Save Our Valley Campaign could do nothing major to help salvage the city‚ dying economy.",7,die,aux verb ,"aux verb  [SEP] die [SEP] Without funds, the Save Our Valley Campaign could do nothing major to help salvage the city‚ dying economy."
ANC,naturalistic_data_academic,RMS distributes electronic devices and produces power supplies and plastic literature displays.,8,produce,verb dobj ,verb dobj  [SEP] produce [SEP] RMS distributes electronic devices and produces power supplies and plastic literature displays.
ANC,naturalistic_data_academic,"But it said that severance payments to those executives not staying with the company will reduce First of America's operating results for 1989 by $3 million to $4 million, or 15 cents to 20 cents a share.",8,reduce,mark nsubj aux verb dobj prep prep,"mark nsubj aux verb dobj prep prep [SEP] reduce [SEP] But it said that severance payments to those executives not staying with the company will reduce First of America's operating results for 1989 by $3 million to $4 million, or 15 cents to 20 cents a share."
ANC,naturalistic_data_academic,"Jobs were scarce in other steel-exporting countries, and labor laws were either non-existent or allowed employers to pay much less for work.",8,pay,nsubj aux verb dobj prep ,"nsubj aux verb dobj prep  [SEP] pay [SEP] Jobs were scarce in other steel-exporting countries, and labor laws were either non-existent or allowed employers to pay much less for work."
ANC,naturalistic_data_academic,"The Oklahoma City energy and defense concern said it will record a $7.5 million reserve for its defense group, including a $4.7 million charge related to problems under a fixed-price development contract and $2.8 million in overhead costs that won't be reimbursed.",8,record,nsubj aux verb dobj,"nsubj aux verb dobj [SEP] record [SEP] The Oklahoma City energy and defense concern said it will record a $7.5 million reserve for its defense group, including a $4.7 million charge related to problems under a fixed-price development contract and $2.8 million in overhead costs that won't be reimbursed."
ANC,naturalistic_data_academic,"In Guatemala the fact remains that Spanish is the gateway to social mobility; years of conflict and refugee status have established the desire to leave a rural way of life for an updated urban one, and those literate in Spanish have the tools to do so.",8,leave,aux verb dobj prep ,"aux verb dobj prep  [SEP] leave [SEP] In Guatemala the fact remains that Spanish is the gateway to social mobility; years of conflict and refugee status have established the desire to leave a rural way of life for an updated urban one, and those literate in Spanish have the tools to do so."
ANC,naturalistic_data_academic,"Immediately after the workers left the building, US steel representatives told the local union leaders that they had changed their minds and were no longer interested in allowing the workers to purchase the mill.",8,leave,advmod mark nsubj verb dobj ,"advmod mark nsubj verb dobj  [SEP] leave [SEP] Immediately after the workers left the building, US steel representatives told the local union leaders that they had changed their minds and were no longer interested in allowing the workers to purchase the mill."
